operator_id,calls_missed_ratio,avg_wait_time,calls_out_ratio,calls_in_ratio,internal_calls_ratio,crit_calls_missed,crit_wait_time,crit_low_outbound,crit_low_inbound,crit_high_internal,inefficiency_score,criterios_negativos,efficiency_class,uso_interno_excesivo,efficiency_binary
896538,7.142857142857142,60.45454545454545,0.0,100.0,0.0,1,1,1,0,0,3,3,Ineficiente,False,0.0
896708,0.0,72.0,69.72477064220183,30.275229357798167,0.0,0,1,0,0,0,1,1,Eficiente,False,1.0
897030,0.0,15.2,92.5925925925926,7.4074074074074066,9.523809523809524,0,0,0,0,0,0,0,Eficiente,False,1.0
897872,33.33333333333333,21.666666666666668,94.23076923076924,5.769230769230769,10.344827586206897,1,0,0,0,0,1,1,Eficiente,False,1.0
898414,4.166666666666666,86.0,71.08433734939759,28.915662650602407,0.0,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
898422,1.5625,46.7,26.436781609195403,73.5632183908046,0.0,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
898558,0.0,51.833333333333336,0.0,100.0,0.0,0,1,1,0,0,2,2,Potencialmente ineficiente,False,
898560,0.0,78.0,0.0,100.0,0.0,0,1,1,0,0,2,2,Potencialmente ineficiente,False,
898676,0.0,8.0,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
898892,0.0,19.9,87.2340425531915,12.76595744680851,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
898906,0.0,57.0,86.98630136986301,13.013698630136986,7.6923076923076925,0,1,0,0,0,1,1,Eficiente,False,1.0
898920,0.0,97.0,74.0,26.0,0.0,0,1,0,0,0,1,1,Eficiente,False,1.0
899082,0.1526717557251908,195.1159420289855,69.75992613111727,30.24007386888273,0.4878048780487805,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
899250,1.7482517482517483,54.48809523809524,82.7710843373494,17.2289156626506,0.9259259259259258,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
899268,6.451612903225806,26.83333333333333,0.0,100.0,0.0,1,0,1,0,0,2,2,Potencialmente ineficiente,False,
899892,0.0,31.666666666666668,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
899898,0.0,25.0,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
899900,0.0,58.0,0.0,100.0,50.0,0,1,1,0,1,3,3,Ineficiente,True,0.0
